Camera.trap.days	species	sd
200	200	18.47	1.98201509539757
201	201	18.53	1.97691219283554
202	202	18.56	1.96597316997219
203	203	18.59	1.99542405811827
204	204	18.59	1.99542405811827
205	205	18.62	2.02399744480216
206	206	18.63	2.01837518411181
207	207	18.64	2.03762587142959
208	208	18.66	2.07544567442146
209	209	18.69	2.09711201128571
210	210	18.72	2.08447847315593
211	211	18.73	2.10749024944723
212	212	18.75	2.10518839580171
213	213	18.78	2.11574186430284
214	214	18.81	2.13529739134739
215	215	18.86	2.10348436282433
216	216	18.9	2.08651272546691
217	217	18.95	2.09557012323953
218	218	18.98	2.07427728682215
219	219	19.04	2.08854499640784
220	220	19.06	2.08321817863564
221	221	19.08	2.08738394100647
222	222	19.11	2.112468994453
223	223	19.14	2.12260560289813
224	224	19.14	2.12260560289813
225	225	19.19	2.08261199633362
226	226	19.21	2.08067102618168
227	227	19.23	2.09306213259642
228	228	19.24	2.07495892620903
229	229	19.29	2.10480450878508
230	230	19.29	2.10480450878508
231	231	19.32	2.12669421469761
232	232	19.36	2.129731808411
233	233	19.37	2.12562527936672
234	234	19.42	2.12811862660165
235	235	19.45	2.11953396821665
236	236	19.48	2.12003430503977
237	237	19.52	2.12003430503977
238	238	19.56	2.15237712140026
239	239	19.6	2.14617347995464
240	240	19.62	2.1356994454305
241	241	19.65	2.13378309652839
242	242	19.66	2.10923893594085
243	243	19.68	2.11239726903398
244	244	19.69	2.10672324434958
245	245	19.71	2.07581066067932
246	246	19.78	2.08205415274183
247	247	19.86	2.08902857903869
248	248	19.89	2.08358180336485
249	249	19.92	2.07281587618526
250	250	19.94	2.09289321758231
251	251	19.98	2.08883515942075
252	252	20.01	2.10096178071863
253	253	20.02	2.11765068990248
254	254	20.06	2.14061258106698
255	255	20.08	2.14937153135468
256	256	20.08	2.14937153135468
257	257	20.1	2.15322168769582
258	258	20.14	2.16034041462699
259	259	20.17	2.14172119963587
260	260	20.2	2.1649177090293
261	261	20.22	2.1861825036794
262	262	20.25	2.1619996355787
263	263	20.26	2.16314398947271
264	264	20.29	2.16162583779577
265	265	20.29	2.16162583779577
266	266	20.33	2.17912502132986
267	267	20.34	2.17060248583548
268	268	20.35	2.15732250811982
269	269	20.37	2.16797163498534
270	270	20.39	2.1644277476385
271	271	20.41	2.16069106042161
272	272	20.42	2.1610883902106
273	273	20.43	2.1800518944801
274	274	20.45	2.18523511898663
275	275	20.49	2.18578973546789
276	276	20.51	2.19040607830575
277	277	20.53	2.19482863278041
278	278	20.56	2.20339499294827
279	279	20.58	2.20275309831157
280	280	20.58	2.20275309831157
281	281	20.6	2.20651011071485
282	282	20.65	2.24901774294486
283	283	20.67	2.23405687058546
284	284	20.69	2.23694867932624
285	285	20.7	2.25854158717746
286	286	20.71	2.23965635892219
287	287	20.73	2.22408760091991
288	288	20.77	2.2195413121552
289	289	20.77	2.2195413121552
290	290	20.78	2.22737785775385
291	291	20.79	2.23061797842135
292	292	20.84	2.27289696336209
293	293	20.85	2.26691175145591
294	294	20.89	2.24686088540965
295	295	20.89	2.24686088540965
296	296	20.91	2.24775982756705
297	297	21.01	2.23604539084049
298	298	21.02	2.2382352355588
299	299	21.03	2.23134239615728
300	300	21.04	2.21983710386072
301	301	21.05	2.2127956630617
302	302	21.06	2.2056859488718
303	303	21.06	2.2056859488718
304	304	21.06	2.2056859488718
305	305	21.1	2.19963265987388
306	306	21.11	2.21516809677498
307	307	21.11	2.21516809677498
308	308	21.15	2.24001713557659
309	309	21.17	2.23405687058546
310	310	21.19	2.23694867932624
311	311	21.24	2.22529081064008
312	312	21.25	2.22644800232808
313	313	21.27	2.21498569208959
314	314	21.28	2.21144863166772
315	315	21.32	2.23778389655408
316	316	21.33	2.229530910485
317	317	21.33	2.229530910485
318	318	21.33	2.229530910485
319	319	21.35	2.24901774294486
320	320	21.36	2.2361583218556
321	321	21.37	2.22771795178996
322	322	21.37	2.22771795178996
323	323	21.39	2.23333333333333
324	324	21.42	2.24814176913766
325	325	21.46	2.24022004691188
326	326	21.5	2.2315460962745
327	327	21.51	2.23152346384639
328	328	21.51	2.23152346384639
329	329	21.51	2.23152346384639
330	330	21.52	2.24049056677282
331	331	21.53	2.24937701813123
332	332	21.53	2.24937701813123
333	333	21.56	2.26666666666667
334	334	21.59	2.25224915642703
335	335	21.6	2.2518230549284
336	336	21.61	2.24236076896244
337	337	21.61	2.24236076896244
338	338	21.65	2.24452195085697
339	339	21.66	2.23931807801961
340	340	21.68	2.2647050335284
341	341	21.69	2.27278585783077
342	342	21.71	2.27545089326858
343	343	21.72	2.29219139997981
344	344	21.75	2.28908256511184
345	345	21.75	2.28908256511184
346	346	21.75	2.28908256511184
347	347	21.76	2.28795705264489
348	348	21.78	2.29879195327556
349	349	21.8	2.30063671467907
350	350	21.81	2.2948999229957
351	351	21.82	2.2979129749414
352	352	21.83	2.30087818105184
353	353	21.85	2.31104069434294
354	354	21.86	2.30511070309765
355	355	21.87	2.29912148351487
356	356	21.88	2.27981923791685
357	357	21.89	2.26477193535948
358	358	21.91	2.27011769374065
359	359	21.92	2.26381282018821
360	360	21.94	2.2420228961067
361	361	21.97	2.2448819455586
362	362	22	2.22020110109263
363	363	22.02	2.24274362999853
364	364	22.06	2.2420228961067
365	365	22.09	2.23875416292638
366	366	22.09	2.23875416292638
367	367	22.1	2.24508441721109
368	368	22.11	2.23785160320782
369	369	22.13	2.24127939653523
370	370	22.14	2.23389861683628
371	371	22.16	2.23706156474167
372	372	22.2	2.2518230549284
373	373	22.24	2.24787217005979
374	374	22.26	2.23660998889486
375	375	22.28	2.23416990211468
376	376	22.29	2.22154282543743
377	377	22.29	2.22154282543743
378	378	22.32	2.20137697954271
379	379	22.33	2.19758820969579
380	380	22.35	2.19905856808285
381	381	22.37	2.19114379060597
382	382	22.37	2.19114379060597
383	383	22.37	2.19114379060597
384	384	22.39	2.20144580591111
385	385	22.4	2.20651011071485
386	386	22.42	2.20733396483705
387	387	22.42	2.20733396483705
388	388	22.44	2.20797452774064
389	389	22.44	2.20797452774064
390	390	22.44	2.20797452774064
391	391	22.44	2.20797452774064
392	392	22.46	2.19006019012347
393	393	22.46	2.19006019012347
394	394	22.46	2.19006019012347
395	395	22.46	2.19006019012347
396	396	22.48	2.22238383250731
397	397	22.52	2.24049056677282
398	398	22.52	2.24049056677282
399	399	22.55	2.22190654323459
400	400	22.56	2.23073118419984
401	401	22.58	2.23913764064145
402	402	22.58	2.23913764064145
403	403	22.58	2.23913764064145
404	404	22.58	2.23913764064145
405	405	22.59	2.24326151445216
406	406	22.61	2.24236076896244
407	407	22.62	2.22828465983423
408	408	22.63	2.24127939653523
409	409	22.64	2.21801622167106
410	410	22.64	2.21801622167106
411	411	22.66	2.19374685242515
412	412	22.67	2.19758820969579
413	413	22.68	2.19218077850723
414	414	22.7	2.18118677732462
415	415	22.74	2.15846934168403
416	416	22.78	2.16295719753856
417	417	22.78	2.16295719753856
418	418	22.81	2.16815799491391
419	419	22.82	2.15734591898041
420	420	22.83	2.16983451400834
421	421	22.86	2.14626760830626
422	422	22.87	2.14925404019463
423	423	22.89	2.12676545795048
424	424	22.91	2.10864023398105
425	425	22.93	2.11418967450841
426	426	22.94	2.10252373603868
427	427	22.96	2.10300410428184
428	428	22.97	2.09595570159064
429	429	23	2.09376177819693
430	430	23.02	2.10808927800518
431	431	23.05	2.0859075005882
432	432	23.07	2.0707437789306
433	433	23.07	2.0707437789306
434	434	23.09	2.07483722131388
435	435	23.1	2.09134821914892
436	436	23.1	2.09134821914892
437	437	23.11	2.07872824368918
438	438	23.13	2.0920967202471
439	439	23.2	2.09376177819693
440	440	23.21	2.07581066067932
441	441	23.21	2.07581066067932
442	442	23.22	2.08205415274183
443	443	23.22	2.08205415274183
444	444	23.24	2.07495892620903
445	445	23.26	2.04307156363682
446	446	23.26	2.04307156363682
447	447	23.26	2.04307156363682
448	448	23.31	2.02855872605417
449	449	23.33	2.02037600260922
450	450	23.34	2.01619704023454
451	451	23.36	2.01268703252868
452	452	23.38	1.98875627344115
453	453	23.41	2.02057597548998
454	454	23.42	2.02100085216322
455	455	23.42	2.02100085216322
456	456	23.43	2.02137566918166
457	457	23.45	2.0269646910062
458	458	23.47	2.03730362504121
459	459	23.48	2.05224685935127
460	460	23.49	2.04245346620582
461	461	23.51	2.05232068693472
462	462	23.56	2.0415878154223
463	463	23.58	2.02100085216322
464	464	23.6	2.0250950844368
465	465	23.61	1.99946962664572
466	466	23.61	1.99946962664572
467	467	23.66	2.00111080264048
468	468	23.66	2.00111080264048
469	469	23.68	1.99939384753874
470	470	23.69	1.99845900229111
471	471	23.7	1.98733362812965
472	472	23.74	1.96751394178316
473	473	23.75	1.96111182647997
474	474	23.76	1.95463706621103
475	475	23.77	1.94289693109246
476	476	23.77	1.94289693109246
477	477	23.79	1.9451831208751
478	478	23.82	1.95598021100894
479	479	23.84	1.94219494699199
480	480	23.85	1.93518719894213
481	481	23.85	1.93518719894213
482	482	23.86	1.93333333333333
483	483	23.86	1.93333333333333
484	484	23.88	1.9346912681434
485	485	23.89	1.92744662832736
486	486	23.93	1.92408970999827
487	487	23.93	1.92408970999827
488	488	23.94	1.92180470738661
489	489	23.94	1.92180470738661
490	490	23.95	1.9089105253886
491	491	23.98	1.93312433562089
492	492	24	1.92799681461659
493	493	24.05	1.89296944860009
494	494	24.06	1.88465359998043
495	495	24.07	1.90297481100332
496	496	24.07	1.90297481100332
497	497	24.08	1.90522937986453
498	498	24.08	1.90522937986453
499	499	24.09	1.88612691711739
500	500	24.09	1.88612691711739
501	501	24.1	1.90427482949878
502	502	24.11	1.92219886714369
503	503	24.13	1.92093727122986
504	504	24.14	1.92810159420497
505	505	24.17	1.92303947127479
506	506	24.17	1.92303947127479
507	507	24.17	1.92303947127479
508	508	24.17	1.92303947127479
509	509	24.19	1.88933743931463
510	510	24.21	1.87107164237746
511	511	24.23	1.86328156267865
512	512	24.24	1.88626079797567
513	513	24.25	1.87150347382132
514	514	24.3	1.88293774338254
515	515	24.31	1.86782972424894
516	516	24.32	1.8796088138039
517	517	24.32	1.8796088138039
518	518	24.34	1.90278902156967
519	519	24.36	1.90438091427809
520	520	24.37	1.89446295793555
521	521	24.37	1.89446295793555
522	522	24.4	1.89630155723176
523	523	24.4	1.89630155723176
524	524	24.41	1.90212533973995
525	525	24.42	1.88658207327217
526	526	24.44	1.88197188656424
527	527	24.46	1.89320955634669
528	528	24.47	1.88269632563126
529	529	24.48	1.88283045042577
530	530	24.49	1.87753868539413
531	531	24.51	1.84497680037972
532	532	24.52	1.85036169000506
533	533	24.54	1.83908189655116
534	534	24.55	1.83883472104296
535	535	24.55	1.83883472104296
536	536	24.55	1.83883472104296
537	537	24.55	1.83883472104296
538	538	24.56	1.83853257251592
539	539	24.57	1.83817542386163
540	540	24.58	1.83225863817631
541	541	24.58	1.83225863817631
542	542	24.58	1.83225863817631
543	543	24.58	1.83225863817631
544	544	24.61	1.83619611197066
545	545	24.63	1.81272159913198
546	546	24.64	1.80638597841943
547	547	24.64	1.80638597841943
548	548	24.65	1.79435140641318
549	549	24.66	1.77650206753598
550	550	24.68	1.78591571735481
551	551	24.68	1.78591571735481
552	552	24.7	1.76096851221426
553	553	24.72	1.75855771941817
554	554	24.72	1.75855771941817
555	555	24.72	1.75855771941817
556	556	24.74	1.75591352954305
557	557	24.76	1.75878746110306
558	558	24.78	1.72081728292463
559	559	24.78	1.72081728292463
560	560	24.79	1.70735189842355
561	561	24.79	1.70735189842355
562	562	24.81	1.69785961514116
563	563	24.81	1.69785961514116
564	564	24.83	1.71773282573457
565	565	24.84	1.72163887155245
566	566	24.85	1.70782512765993
567	567	24.86	1.70572417157492
568	568	24.87	1.69762162801939
569	569	24.87	1.69762162801939
570	570	24.88	1.68343084026027
571	571	24.9	1.6966991126266
572	572	24.92	1.69777037387989
573	573	24.92	1.69777037387989
574	574	24.94	1.71635036803637
575	575	24.96	1.72866504224585
576	576	24.98	1.71729173674449
577	577	25	1.72328087371066
578	578	25.01	1.72617987756113
579	579	25.02	1.73484782321014
580	580	25.03	1.74341473823498
581	581	25.03	1.74341473823498
582	582	25.03	1.74341473823498
583	583	25.06	1.74552819709929
584	584	25.06	1.74552819709929
585	585	25.07	1.75381258572819
586	586	25.08	1.74471785800467
587	587	25.08	1.74471785800467
588	588	25.09	1.73551727217571
589	589	25.12	1.69538887407681
590	590	25.14	1.68786518682295
591	591	25.16	1.69800834015394
592	592	25.16	1.69800834015394
593	593	25.2	1.71151772684157
594	594	25.2	1.71151772684157
595	595	25.22	1.72081728292463
596	596	25.23	1.72828518970964
597	597	25.24	1.71222579460688
598	598	25.25	1.71961353421945
599	599	25.27	1.7106617539314
600	600	25.28	1.71787983023001
601	601	25.28	1.71787983023001
602	602	25.29	1.71914354998486
603	603	25.31	1.72734981220868
604	604	25.32	1.71670344179497
605	605	25.33	1.70593142306542
606	606	25.34	1.70098010962308
607	607	25.34	1.70098010962308
608	608	25.35	1.69595478308315
609	609	25.36	1.70868252159258
610	610	25.36	1.70868252159258
611	611	25.37	1.7212574684594
612	612	25.37	1.7212574684594
613	613	25.38	1.71611494517428
614	614	25.39	1.70498378202542
615	615	25.4	1.71740937155209
616	616	25.4	1.71740937155209
617	617	25.4	1.71740937155209
618	618	25.41	1.712078304638
619	619	25.41	1.712078304638
620	620	25.43	1.70711523461143
621	621	25.45	1.71961353421945
622	622	25.46	1.71987784391212
623	623	25.46	1.71987784391212
624	624	25.47	1.69643119161338
625	625	25.49	1.68472040062523
626	626	25.49	1.68472040062523
627	627	25.49	1.68472040062523
628	628	25.49	1.68472040062523
629	629	25.5	1.68475037865668
630	630	25.53	1.67244453034195
631	631	25.54	1.67223312859291
632	632	25.54	1.67223312859291
633	633	25.54	1.67223312859291
634	634	25.55	1.67196128706814
635	635	25.56	1.68965957960457
636	636	25.57	1.68328082726393
637	637	25.58	1.67078279603159
638	638	25.59	1.68831396381243
639	639	25.61	1.68711695989449
640	640	25.65	1.6598344812211
641	641	25.66	1.64666789350954
642	642	25.7	1.6298974374376
643	643	25.71	1.64098393740715
644	644	25.73	1.63209600628682
645	645	25.73	1.63209600628682
646	646	25.74	1.63682372880891
647	647	25.74	1.63682372880891
648	648	25.74	1.63682372880891
649	649	25.74	1.63682372880891
650	650	25.75	1.64147630029935
651	651	25.76	1.63990637820972
652	652	25.78	1.6488747310781
653	653	25.79	1.64712789516488
654	654	25.8	1.6575508280215
655	655	25.81	1.65569113403229
656	656	25.82	1.65376827123678
657	657	25.83	1.63333333333333
658	658	25.86	1.6515679724664
659	659	25.88	1.64089160291753
660	660	25.89	1.6446730662808
661	661	25.89	1.6446730662808
662	662	25.89	1.6446730662808
663	663	25.91	1.63975238337619
664	664	25.92	1.64335208053724
665	665	25.93	1.63456972375552
666	666	25.94	1.63805748471546
667	667	25.95	1.64147630029935
668	668	25.98	1.64519502390041
669	669	26.01	1.64835393865235
670	670	26.01	1.64835393865235
671	671	26.01	1.64835393865235
672	672	26.02	1.64519502390041
673	673	26.03	1.6296185337853
674	674	26.05	1.61041433905512
675	675	26.08	1.63719395320287
676	676	26.1	1.67271629333243
677	677	26.11	1.66299595776886
678	678	26.13	1.65544708477953
679	679	26.17	1.67606441379558
680	680	26.17	1.67606441379558
681	681	26.17	1.67606441379558
682	682	26.19	1.65569113403229
683	683	26.2	1.66969421987344
684	684	26.2	1.66969421987344
685	685	26.2	1.66969421987344
686	686	26.21	1.66542377899331
687	687	26.22	1.66108155103593
688	688	26.25	1.64761842204027
689	689	26.25	1.64761842204027
690	690	26.26	1.64911975295791
691	691	26.26	1.64911975295791
692	692	26.27	1.62589524679032
693	693	26.27	1.62589524679032
694	694	26.27	1.62589524679032
695	695	26.27	1.62589524679032
696	696	26.27	1.62589524679032
697	697	26.27	1.62589524679032
698	698	26.27	1.62589524679032
699	699	26.28	1.62729247773128
700	700	26.28	1.62729247773128
701	701	26.29	1.61617455802899
702	702	26.3	1.61745529031303
703	703	26.31	1.61242022745282
704	704	26.31	1.61242022745282
705	705	26.32	1.61357874416973
706	706	26.32	1.61357874416973
707	707	26.32	1.61357874416973
708	708	26.32	1.61357874416973
709	709	26.35	1.60412977131912
710	710	26.35	1.60412977131912
711	711	26.35	1.60412977131912
712	712	26.36	1.5987368751485
713	713	26.37	1.58690983621718
714	714	26.37	1.58690983621718
715	715	26.38	1.58770528776851
716	716	26.38	1.58770528776851
717	717	26.39	1.59478316185409
718	718	26.39	1.59478316185409
719	719	26.4	1.60176670138212
720	720	26.4	1.60176670138212
721	721	26.4	1.60176670138212
722	722	26.41	1.59604941570546
723	723	26.41	1.59604941570546
724	724	26.42	1.59658726948793
725	725	26.42	1.59658726948793
726	726	26.46	1.58541330684946
727	727	26.47	1.58563628371781
728	728	26.5	1.55375075676294
729	729	26.51	1.56020589161893
730	730	26.52	1.56010877631638
731	731	26.53	1.5469422429523
732	732	26.53	1.5469422429523
733	733	26.53	1.5469422429523
734	734	26.53	1.5469422429523
735	735	26.53	1.5469422429523
736	736	26.56	1.54606048727177
737	737	26.57	1.53250966019333
738	738	26.59	1.51820601202521
739	739	26.59	1.51820601202521
740	740	26.6	1.51090313482641
741	741	26.62	1.48242226021325
742	742	26.62	1.48242226021325
743	743	26.63	1.48157028353383
744	744	26.63	1.48157028353383
745	745	26.63	1.48157028353383
746	746	26.65	1.49325080940811
747	747	26.66	1.49895586555065
748	748	26.66	1.49895586555065
749	749	26.67	1.49784356777848
750	750	26.68	1.48989864749183
751	751	26.69	1.49541386454139
752	752	26.69	1.49541386454139
753	753	26.69	1.49541386454139
754	754	26.69	1.49541386454139
755	755	26.73	1.48293321127113
756	756	26.74	1.48813489124657
757	757	26.76	1.48473716342134
758	758	26.77	1.48293321127113
759	759	26.77	1.48293321127113
760	760	26.8	1.47709789175199
761	761	26.8	1.47709789175199
762	762	26.8	1.47709789175199
763	763	26.81	1.46814663622356
764	764	26.83	1.45681956066056
765	765	26.85	1.44512416019657
766	766	26.85	1.44512416019657
767	767	26.86	1.44962551764728
768	768	26.87	1.46787140603204
769	769	26.88	1.4790114088386
770	770	26.9	1.5008415147927
771	771	26.92	1.47490797521525
772	772	26.93	1.47884065976348
773	773	26.94	1.46211414663075
774	774	26.94	1.46211414663075
775	775	26.94	1.46211414663075
776	776	26.97	1.45959036733052
777	777	26.97	1.45959036733052
778	778	26.98	1.46321908852027
779	779	27	1.47709789175199
780	780	27	1.47709789175199
781	781	27.01	1.5008078632604
782	782	27.01	1.5008078632604
783	783	27.01	1.5008078632604
784	784	27.02	1.48378440536898
785	785	27.03	1.48701449932814
786	786	27.03	1.48701449932814
787	787	27.04	1.49016980931908
788	788	27.04	1.49016980931908
789	789	27.06	1.48269478935614
790	790	27.06	1.48269478935614
791	791	27.08	1.47490797521525
792	792	27.09	1.46401275039985
793	793	27.09	1.46401275039985
794	794	27.1	1.46680440124618
795	795	27.13	1.4540434739864
796	796	27.14	1.45657686430073
797	797	27.16	1.44753360422255
798	798	27.16	1.44753360422255
799	799	27.16	1.44753360422255
800	800	27.16	1.44753360422255
801	801	27.16	1.44753360422255
802	802	27.16	1.44753360422255
803	803	27.16	1.44753360422255
804	804	27.17	1.44288571686021
805	805	27.19	1.45432132111528
806	806	27.19	1.45432132111528
807	807	27.2	1.44948615067896
808	808	27.21	1.43755544469271
809	809	27.21	1.43755544469271
810	810	27.21	1.43755544469271
811	811	27.25	1.42400062421959
812	812	27.25	1.42400062421959
813	813	27.26	1.41863499622886
814	814	27.27	1.40601162401621
815	815	27.28	1.40762713152814
816	816	27.28	1.40762713152814
817	817	27.29	1.40198272298754
818	818	27.29	1.40198272298754
819	819	27.29	1.40198272298754
820	820	27.29	1.40198272298754
821	821	27.31	1.41203342164355
822	822	27.31	1.41203342164355
823	823	27.31	1.41203342164355
824	824	27.31	1.41203342164355
825	825	27.31	1.41203342164355
826	826	27.31	1.41203342164355
827	827	27.32	1.39898953433245
828	828	27.34	1.37965008006898
829	829	27.34	1.37965008006898
830	830	27.34	1.37965008006898
831	831	27.34	1.37965008006898
832	832	27.34	1.37965008006898
833	833	27.35	1.38078443522718
834	834	27.36	1.3891353316711
835	835	27.36	1.3891353316711
836	836	27.36	1.3891353316711
837	837	27.38	1.39102462054038
838	838	27.41	1.40054102100408
839	839	27.42	1.40834454003072
840	840	27.43	1.3944695961352
841	841	27.44	1.40934829842116
842	842	27.45	1.40974243653716
843	843	27.45	1.40974243653716
844	844	27.45	1.40974243653716
845	845	27.46	1.41721023439885
846	846	27.48	1.43181738015049
847	847	27.48	1.43181738015049
848	848	27.48	1.43181738015049
849	849	27.48	1.43181738015049
850	850	27.48	1.43181738015049
851	851	27.48	1.43181738015049
852	852	27.48	1.43181738015049
853	853	27.49	1.42485157830632
854	854	27.5	1.42488702369803
855	855	27.5	1.42488702369803
856	856	27.51	1.41774468787578
857	857	27.51	1.41774468787578
858	858	27.51	1.41774468787578
859	859	27.52	1.41763781329963
860	860	27.53	1.41031553171264
861	861	27.53	1.41031553171264
862	862	27.53	1.41031553171264
863	863	27.53	1.41031553171264
864	864	27.53	1.41031553171264
865	865	27.53	1.41031553171264
866	866	27.53	1.41031553171264
867	867	27.54	1.41721023439885
868	868	27.54	1.41721023439885
869	869	27.54	1.41721023439885
870	870	27.54	1.41721023439885
871	871	27.56	1.39494035207911
872	872	27.56	1.39494035207911
873	873	27.57	1.40888235667479
