group,length,distance
"JG, AV, MN",64,19
"JG, AV, MN",64,16
"JG, AV, MN",64,0
"JG, AV, MN",64,3
"JG, AV, MN",64,18
"JG, AV, MN",64,0
"JG, AV, MN",64,13
"JG, AV, MN",64,12
"JG, AV, MN",64,0
"JG, AV, MN",64,9
"JG, AV, MN",64,12
"JG, AV, MN",64,0
"JG, AV, MN",64,0
"JG, AV, MN",64,4
"JG, AV, MN",64,7
"JG, AV, MN",64,9
"JG, AV, MN",64,7
"JG, AV, MN",64,10
"JG, AV, MN",64,16
"JG, AV, MN",64,1
"JG, AV, MN",64,13
"JG, AV, MN",64,4
"JG, AV, MN",64,5
"JG, AV, MN",64,1
"JG, AV, MN",64,2
"JG, AV, MN",64,3
"JG, AV, MN",64,4
"JG, AV, MN",64,3
"JG, AV, MN",64,3
"JG, AV, MN",64,2
"JG, AV, MN",64,13
"JG, AV, MN",64,9
"JG, AV, MN",64,15
"AB, SS, ML",178.3,9.6
"AB, SS, ML",178.3,16
"AB, SS, ML",178.3,6.7
"AB, SS, ML",178.3,11.7
"AB, SS, ML",178.3,15.3
"AB, SS, ML",178.3,13.4
"AB, SS, ML",178.3,22.8
"AB, SS, ML",178.3,4.8
"AB, SS, ML",178.3,5.2
"AB, SS, ML",178.3,5.7
"AB, SS, ML",178.3,0
"AB, SS, ML",178.3,0.4
"AB, SS, ML",178.3,1
"AB, SS, ML",178.3,12.6
"AB, SS, ML",178.3,0.7
"AB, SS, ML",178.3,2
"AB, SS, ML",178.3,2.5
"AB, SS, ML",178.3,14.1
"AB, SS, ML",178.3,19.1
"AB, SS, ML",178.3,23.8
"AB, SS, ML",178.3,6.7
"AB, SS, ML",178.3,6.8
"AB, SS, ML",178.3,3.2
"AB, SS, ML",178.3,23.65
"AB, SS, ML",178.3,7.5
"AB, SS, ML",178.3,1.9
"AB, SS, ML",178.3,3.4
"AB, SS, ML",178.3,3
"AB, SS, ML",178.3,0.5
"AB, SS, ML",178.3,11.1
"AB, SS, ML",178.3,0
