group,length,distance
"LB, AK",45,0
"LB, AK",45,0.4
"LB, AK",45,1.1
"LB, AK",45,0.2
"LB, AK",45,1.6
"LB, AK",45,4.1
"LB, AK",45,2.2
"LB, AK",45,0.1
"LB, AK",45,1
"LB, AK",45,1.8
"LB, AK",45,2.2
"LB, AK",45,2.5
"LB, AK",45,0
"LB, AK",45,0.8
"LB, AK",45,1.5
"LB, AK",45,0
"LB, AK",45,1.2
"LB, AK",45,0
"LB, AK",45,2.5
"LB, AK",45,2.6
"LB, AK",45,1.9
"LB, AK",45,3.4
"LB, AK",45,3.8
"LB, AK",45,5.3
"LB, AK",45,1.9
"LB, AK",45,3.9
"LB, AK",45,3.5
"LB, AK",45,0
"LB, AK",45,1.2
"LB, AK",45,3.6
"LB, AK",45,4.7
"LB, AK",45,6.3
"LB, AK",45,4.7
"LB, AK",45,0
"LB, AK",45,3.1
"LB, AK",45,3
"LB, AK",45,1.3
"LB, AK",45,0.5
"LB, AK",45,1.4
"LB, AK",45,2.7
"LB, AK",45,3.4
"LB, AK",45,5.1
"LB, AK",45,3.2
"LB, AK",45,6.3
"LB, AK",45,0.7
"LB, AK",45,2.9
"LB, AK",45,1.1
"LB, AK",45,0.9
"LB, AK",45,1.2
"LB, AK",45,2.3
"JF, MP",45,0.4
"JF, MP",45,0.5
"JF, MP",45,0.2
"JF, MP",45,0.4
"JF, MP",45,1.2
"JF, MP",45,0.7
"JF, MP",45,1.5
"JF, MP",45,0.5
"JF, MP",45,0.6
"JF, MP",45,0.5
"JF, MP",45,0.1
"JF, MP",45,1
"JF, MP",45,1.3
"JF, MP",45,3.3
"JF, MP",45,3.4
"JF, MP",45,4.3
"JF, MP",45,2
"JF, MP",45,2.6
"JF, MP",45,1.9
"JF, MP",45,3.3
"JF, MP",45,3.3
"JF, MP",45,0.4
"JF, MP",45,1.5
"JF, MP",45,3.7
"JF, MP",45,2.9
"JF, MP",45,2.5
"JF, MP",45,1.7
"JF, MP",45,5.6
"JF, MP",45,2.9
"JF, MP",45,0.7
"JF, MP",45,2.7
"JF, MP",45,2.6
"JF, MP",45,1.6
"JF, MP",45,3.9
"JF, MP",45,0.2
"JF, MP",45,5.8
"JF, MP",45,0.4
"JF, MP",45,2.4
"JF, MP",45,3.7
"JF, MP",45,2.5
"JF, MP",45,0.7
"JF, MP",45,3.1
"JF, MP",45,0.1
"JF, MP",45,3.4
"JF, MP",45,4.1
"JF, MP",45,1.3
"JF, MP",45,0.5
"JF, MP",45,2.1
