File,RelativePath,Folder,ImageQuality,DeleteFlag,CamSetup,species1,species1count,species2,species2count,Water,OHV,Mange,Flag,Outreach,Note,DateTime,
06230619.JPG,,SC2_11JunTo8Jul,Ok,true,false,,0,,0,false,false,false,false,false,, 2021-06-23 08:34:46,
06230620.JPG,,SC2_11JunTo8Jul,Ok,true,false,,0,,0,false,false,false,false,false,, 2021-06-23 08:40:01,
06230621.JPG,,SC2_11JunTo8Jul,Ok,true,false,,0,,0,false,false,false,false,false,, 2021-06-23 08:44:49,
06230622.JPG,,SC2_11JunTo8Jul,Ok,true,false,,0,,0,false,false,false,false,false,, 2021-06-23 08:46:04,
06230623.JPG,,SC2_11JunTo8Jul,Ok,true,false,,0,,0,false,false,false,false,false,, 2021-06-23 09:02:22,
06230624.JPG,,SC2_11JunTo8Jul,Ok,true,false,,0,,0,false,false,false,false,false,, 2021-06-23 09:03:27,
06230625.JPG,,SC2_11JunTo8Jul,Ok,true,false,,0,,0,false,false,false,false,false,, 2021-06-23 09:04:53,
06230626.JPG,,SC2_11JunTo8Jul,Ok,true,false,,0,,0,false,false,false,false,false,, 2021-06-23 09:08:18,
06230627.JPG,,SC2_11JunTo8Jul,Ok,true,false,,0,,0,false,false,false,false,false,, 2021-06-23 09:09:39,
06230628.JPG,,SC2_11JunTo8Jul,Ok,true,false,,0,,0,false,false,false,false,false,, 2021-06-23 09:11:03,
06230629.JPG,,SC2_11JunTo8Jul,Ok,true,false,,0,,0,false,false,false,false,false,, 2021-06-23 09:13:11,
06230630.JPG,,SC2_11JunTo8Jul,Ok,true,false,,0,,0,false,false,false,false,false,, 2021-06-23 09:15:04,
06230631.JPG,,SC2_11JunTo8Jul,Ok,true,false,,0,,0,false,false,false,false,false,, 2021-06-23 09:16:27,
06230632.JPG,,SC2_11JunTo8Jul,Ok,true,false,,0,,0,false,false,false,false,false,, 2021-06-23 09:18:05,
06230633.JPG,,SC2_11JunTo8Jul,Ok,true,false,,0,,0,false,false,false,false,false,, 2021-06-23 09:19:42,
06230634.JPG,,SC2_11JunTo8Jul,Ok,true,false,,0,,0,false,false,false,false,false,, 2021-06-23 09:21:14,
06230635.JPG,,SC2_11JunTo8Jul,Ok,true,false,,0,,0,false,false,false,false,false,, 2021-06-23 09:22:58,
06230636.JPG,,SC2_11JunTo8Jul,Ok,true,false,,0,,0,false,false,false,false,false,, 2021-06-23 09:25:20,
06230637.JPG,,SC2_11JunTo8Jul,Ok,true,false,,0,,0,false,false,false,false,false,, 2021-06-23 09:26:26,
06230638.JPG,,SC2_11JunTo8Jul,Ok,true,false,,0,,0,false,false,false,false,false,, 2021-06-23 09:29:44,
06230639.JPG,,SC2_11JunTo8Jul,Ok,true,false,,0,,0,false,false,false,false,false,, 2021-06-23 09:31:19,
06230640.JPG,,SC2_11JunTo8Jul,Ok,true,false,,0,,0,false,false,false,false,false,, 2021-06-23 09:33:20,
06230641.JPG,,SC2_11JunTo8Jul,Ok,true,false,,0,,0,false,false,false,false,false,, 2021-06-23 09:35:11,
06230642.JPG,,SC2_11JunTo8Jul,Ok,true,false,,0,,0,false,false,false,false,false,, 2021-06-23 09:38:14,
06230643.JPG,,SC2_11JunTo8Jul,Ok,true,false,,0,,0,false,false,false,false,false,, 2021-06-23 09:40:01,
06230644.JPG,,SC2_11JunTo8Jul,Ok,true,false,,0,,0,false,false,false,false,false,, 2021-06-23 09:44:15,
06230645.JPG,,SC2_11JunTo8Jul,Ok,true,false,,0,,0,false,false,false,false,false,, 2021-06-23 09:46:53,
06230646.JPG,,SC2_11JunTo8Jul,Ok,true,false,,0,,0,false,false,false,false,false,, 2021-06-23 09:50:01,
06230647.JPG,,SC2_11JunTo8Jul,Ok,false,false,,0,,0,false,false,false,false,false,, 2021-06-23 09:51:57,
06230648.JPG,,SC2_11JunTo8Jul,Ok,false,false,,0,,0,false,false,false,false,false,, 2021-06-23 09:54:10,
06230649.JPG,,SC2_11JunTo8Jul,Ok,true,false,,0,,0,false,false,false,false,false,, 2021-06-23 09:57:15,
06230650.JPG,,SC2_11JunTo8Jul,Ok,true,false,,0,,0,false,false,false,false,false,, 2021-06-23 09:59:17,
06230651.JPG,,SC2_11JunTo8Jul,Ok,true,false,,0,,0,false,false,false,false,false,, 2021-06-23 10:08:49,
06230652.JPG,,SC2_11JunTo8Jul,Ok,true,false,,0,,0,false,false,false,false,false,, 2021-06-23 10:29:52,
06230653.JPG,,SC2_11JunTo8Jul,Ok,true,false,,0,,0,false,false,false,false,false,, 2021-06-23 10:43:43,
06230654.JPG,,SC2_11JunTo8Jul,Ok,true,false,,0,,0,false,false,false,false,false,, 2021-06-23 10:45:38,
06230655.JPG,,SC2_11JunTo8Jul,Ok,true,false,,0,,0,false,false,false,false,false,, 2021-06-23 10:46:55,
06230656.JPG,,SC2_11JunTo8Jul,Ok,true,false,,0,,0,false,false,false,false,false,, 2021-06-23 10:48:15,
06230657.JPG,,SC2_11JunTo8Jul,Ok,true,false,,0,,0,false,false,false,false,false,, 2021-06-23 10:51:34,
06230658.JPG,,SC2_11JunTo8Jul,Ok,true,false,,0,,0,false,false,false,false,false,, 2021-06-23 10:57:22,
06230659.JPG,,SC2_11JunTo8Jul,Ok,true,false,,0,,0,false,false,false,false,false,, 2021-06-23 10:58:50,
06230660.JPG,,SC2_11JunTo8Jul,Ok,true,false,,0,,0,false,false,false,false,false,, 2021-06-23 11:00:01,
06230661.JPG,,SC2_11JunTo8Jul,Ok,true,false,,0,,0,false,false,false,false,false,, 2021-06-23 11:01:17,
06230662.JPG,,SC2_11JunTo8Jul,Ok,true,false,,0,,0,false,false,false,false,false,, 2021-06-23 11:02:51,
06230663.JPG,,SC2_11JunTo8Jul,Ok,true,false,,0,,0,false,false,false,false,false,, 2021-06-23 11:03:56,
06230664.JPG,,SC2_11JunTo8Jul,Ok,true,false,,0,,0,false,false,false,false,false,, 2021-06-23 11:05:47,
06230665.JPG,,SC2_11JunTo8Jul,Ok,true,false,,0,,0,false,false,false,false,false,, 2021-06-23 11:07:13,
06230666.JPG,,SC2_11JunTo8Jul,Ok,true,false,,0,,0,false,false,false,false,false,, 2021-06-23 11:10:22,
06230667.JPG,,SC2_11JunTo8Jul,Ok,true,false,,0,,0,false,false,false,false,false,, 2021-06-23 11:12:44,
06230668.JPG,,SC2_11JunTo8Jul,Ok,true,false,,0,,0,false,false,false,false,false,, 2021-06-23 11:16:04,
06230669.JPG,,SC2_11JunTo8Jul,Ok,true,false,,0,,0,false,false,false,false,false,, 2021-06-23 11:17:09,
06230670.JPG,,SC2_11JunTo8Jul,Ok,false,false,,0,,0,false,false,false,false,false,, 2021-06-23 11:18:46,
06230671.JPG,,SC2_11JunTo8Jul,Ok,false,false,,0,,0,false,false,false,false,false,, 2021-06-23 11:20:42,
06230672.JPG,,SC2_11JunTo8Jul,Ok,true,false,,0,,0,false,false,false,false,false,, 2021-06-23 11:22:07,
06230673.JPG,,SC2_11JunTo8Jul,Ok,false,false,,0,,0,false,false,false,false,false,, 2021-06-23 11:23:58,
06230674.JPG,,SC2_11JunTo8Jul,Ok,true,false,,0,,0,false,false,false,false,false,, 2021-06-23 11:25:25,
06230675.JPG,,SC2_11JunTo8Jul,Ok,true,false,,0,,0,false,false,false,false,false,, 2021-06-23 11:28:50,
06230676.JPG,,SC2_11JunTo8Jul,Ok,true,false,,0,,0,false,false,false,false,false,, 2021-06-23 11:30:48,
06230677.JPG,,SC2_11JunTo8Jul,Ok,true,false,,0,,0,false,false,false,false,false,, 2021-06-23 11:34:51,
06230678.JPG,,SC2_11JunTo8Jul,Ok,true,false,,0,,0,false,false,false,false,false,, 2021-06-23 11:36:35,
06230679.JPG,,SC2_11JunTo8Jul,Ok,true,false,,0,,0,false,false,false,false,false,, 2021-06-23 11:37:53,
06230680.JPG,,SC2_11JunTo8Jul,Ok,true,false,,0,,0,false,false,false,false,false,, 2021-06-23 11:40:01,
06230681.JPG,,SC2_11JunTo8Jul,Ok,true,false,,0,,0,false,false,false,false,false,, 2021-06-23 11:41:21,
06230682.JPG,,SC2_11JunTo8Jul,Ok,true,false,,0,,0,false,false,false,false,false,, 2021-06-23 11:42:32,
06230683.JPG,,SC2_11JunTo8Jul,Ok,true,false,,0,,0,false,false,false,false,false,, 2021-06-23 11:43:59,
06230684.JPG,,SC2_11JunTo8Jul,Ok,true,false,,0,,0,false,false,false,false,false,, 2021-06-23 11:45:13,
06230685.JPG,,SC2_11JunTo8Jul,Ok,true,false,,0,,0,false,false,false,false,false,, 2021-06-23 11:46:47,
06230686.JPG,,SC2_11JunTo8Jul,Ok,true,false,,0,,0,false,false,false,false,false,, 2021-06-23 11:50:42,
06230687.JPG,,SC2_11JunTo8Jul,Ok,true,false,,0,,0,false,false,false,false,false,, 2021-06-23 11:51:51,
06230688.JPG,,SC2_11JunTo8Jul,Ok,true,false,,0,,0,false,false,false,false,false,, 2021-06-23 11:53:26,
06230689.JPG,,SC2_11JunTo8Jul,Ok,false,false,,0,,0,false,false,false,false,false,, 2021-06-23 11:54:41,
