C,RelativePath,Folder,Date,Time,ImageQuality,DeleteFlag,species1,species1count,species2,species2count,Flag,Water,OHV,Outreach,CamSetup,Note
06250089.JPG,SC12_13JunTo11Jul,SC12_13JunTo11Jul-20220129T041454Z-001,25-Jun-21,11:31:05,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
06250090.JPG,SC12_13JunTo11Jul,SC12_13JunTo11Jul-20220129T041454Z-001,25-Jun-21,11:31:34,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
06250091.JPG,SC12_13JunTo11Jul,SC12_13JunTo11Jul-20220129T041454Z-001,25-Jun-21,11:33:22,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
06250092.JPG,SC12_13JunTo11Jul,SC12_13JunTo11Jul-20220129T041454Z-001,25-Jun-21,11:56:49,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
06250093.JPG,SC12_13JunTo11Jul,SC12_13JunTo11Jul-20220129T041454Z-001,25-Jun-21,12:06:44,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
06250094.JPG,SC12_13JunTo11Jul,SC12_13JunTo11Jul-20220129T041454Z-001,25-Jun-21,12:08:51,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
06250095.JPG,SC12_13JunTo11Jul,SC12_13JunTo11Jul-20220129T041454Z-001,25-Jun-21,12:09:23,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
06250096.JPG,SC12_13JunTo11Jul,SC12_13JunTo11Jul-20220129T041454Z-001,25-Jun-21,12:16:48,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
06250097.JPG,SC12_13JunTo11Jul,SC12_13JunTo11Jul-20220129T041454Z-001,25-Jun-21,12:19:34,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
06250098.JPG,SC12_13JunTo11Jul,SC12_13JunTo11Jul-20220129T041454Z-001,25-Jun-21,13:50:54,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
