File,RelativePath,Folder,DateTime,ImageQuality,Flag,DeleteFlag,CamSetup,species1,species1count,species2,species2count,Water,OHV,Mange,Outreach,Note
04240409.JPG,,SC6_21MarTo1May, 2021-04-24 10:45:10,Ok,FALSE,FALSE,FALSE,Sylvilagus audubonii,1,,0,FALSE,FALSE,FALSE,FALSE,
04240410.JPG,,SC6_21MarTo1May, 2021-04-24 11:10:18,Ok,FALSE,TRUE,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,
04240411.JPG,,SC6_21MarTo1May, 2021-04-24 11:41:21,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
04240412.JPG,,SC6_21MarTo1May, 2021-04-24 12:43:35,Ok,FALSE,FALSE,FALSE,Otospermophilus variegatus,1,,0,FALSE,FALSE,FALSE,FALSE,
04240413.JPG,,SC6_21MarTo1May, 2021-04-24 13:08:12,Ok,FALSE,FALSE,FALSE,Otospermophilus variegatus,1,,0,FALSE,FALSE,FALSE,FALSE,
04240414.JPG,,SC6_21MarTo1May, 2021-04-24 13:39:34,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
04240415.JPG,,SC6_21MarTo1May, 2021-04-24 13:54:30,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
04240416.JPG,,SC6_21MarTo1May, 2021-04-24 13:55:54,Ok,FALSE,FALSE,FALSE,Otospermophilus variegatus,1,,0,FALSE,FALSE,FALSE,FALSE,
04240417.JPG,,SC6_21MarTo1May, 2021-04-24 13:57:16,Ok,FALSE,FALSE,FALSE,Xerospermophilus tereticaudus,1,,0,FALSE,FALSE,FALSE,FALSE,
04240418.JPG,,SC6_21MarTo1May, 2021-04-24 14:04:03,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
04240419.JPG,,SC6_21MarTo1May, 2021-04-24 15:34:02,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
04240420.JPG,,SC6_21MarTo1May, 2021-04-24 15:36:06,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
04240421.JPG,,SC6_21MarTo1May, 2021-04-24 16:01:12,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
04240422.JPG,,SC6_21MarTo1May, 2021-04-24 17:00:28,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
04240423.JPG,,SC6_21MarTo1May, 2021-04-24 17:25:58,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
04240424.JPG,,SC6_21MarTo1May, 2021-04-24 18:36:21,Ok,FALSE,FALSE,FALSE,Canis latrans,1,,0,FALSE,FALSE,FALSE,FALSE,
04250425.JPG,,SC6_21MarTo1May, 2021-04-25 07:02:06,Ok,FALSE,FALSE,FALSE,Canis latrans,1,,0,FALSE,FALSE,FALSE,FALSE,
04250426.JPG,,SC6_21MarTo1May, 2021-04-25 07:15:20,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
04250427.JPG,,SC6_21MarTo1May, 2021-04-25 09:06:54,Ok,FALSE,FALSE,FALSE,Homo sapien,1,,0,FALSE,FALSE,FALSE,FALSE,
04250428.JPG,,SC6_21MarTo1May, 2021-04-25 09:41:26,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
04250429.JPG,,SC6_21MarTo1May, 2021-04-25 09:42:02,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
04250430.JPG,,SC6_21MarTo1May, 2021-04-25 12:26:39,Ok,FALSE,FALSE,FALSE,Otospermophilus variegatus,1,,0,FALSE,FALSE,FALSE,FALSE,
04250431.JPG,,SC6_21MarTo1May, 2021-04-25 12:50:38,Ok,FALSE,FALSE,FALSE,Otospermophilus variegatus,1,,0,FALSE,FALSE,FALSE,FALSE,
04250432.JPG,,SC6_21MarTo1May, 2021-04-25 13:04:46,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
04250433.JPG,,SC6_21MarTo1May, 2021-04-25 13:16:32,Ok,FALSE,FALSE,FALSE,Otospermophilus variegatus,1,,0,FALSE,FALSE,FALSE,FALSE,
04250434.JPG,,SC6_21MarTo1May, 2021-04-25 13:39:30,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
04250435.JPG,,SC6_21MarTo1May, 2021-04-25 13:44:05,Ok,FALSE,FALSE,FALSE,Otospermophilus variegatus,1,,0,FALSE,FALSE,FALSE,FALSE,
04250436.JPG,,SC6_21MarTo1May, 2021-04-25 13:49:15,Ok,FALSE,FALSE,FALSE,Sylvilagus audubonii,1,,0,FALSE,FALSE,FALSE,FALSE,
04250437.JPG,,SC6_21MarTo1May, 2021-04-25 13:49:49,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
04250438.JPG,,SC6_21MarTo1May, 2021-04-25 13:50:22,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
04250439.JPG,,SC6_21MarTo1May, 2021-04-25 13:50:57,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
04250440.JPG,,SC6_21MarTo1May, 2021-04-25 13:57:36,Ok,FALSE,FALSE,FALSE,Otospermophilus variegatus,1,,0,FALSE,FALSE,FALSE,FALSE,
04250441.JPG,,SC6_21MarTo1May, 2021-04-25 14:04:44,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
