File,RelativePath,Folder,ImageQuality,DeleteFlag,species1,species1count,species2,species2count,Flag,Water,OHV,Outreach,CamSetup,Note,DateTime
06130046.JPG,,SC3_13JunTo8Jul,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,, 2021-06-13 14:11:26
06130047.JPG,,SC3_13JunTo8Jul,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,, 2021-06-13 14:16:22
06130048.JPG,,SC3_13JunTo8Jul,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,, 2021-06-13 14:24:39
06130049.JPG,,SC3_13JunTo8Jul,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,, 2021-06-13 14:26:55
06130050.JPG,,SC3_13JunTo8Jul,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,, 2021-06-13 14:31:10
06130051.JPG,,SC3_13JunTo8Jul,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,, 2021-06-13 14:35:37
06130052.JPG,,SC3_13JunTo8Jul,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,, 2021-06-13 14:47:27
06130053.JPG,,SC3_13JunTo8Jul,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,, 2021-06-13 14:50:35
06130054.JPG,,SC3_13JunTo8Jul,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,, 2021-06-13 14:51:46
06130055.JPG,,SC3_13JunTo8Jul,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,, 2021-06-13 14:59:32
06130056.JPG,,SC3_13JunTo8Jul,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,, 2021-06-13 15:01:47
06130057.JPG,,SC3_13JunTo8Jul,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,, 2021-06-13 15:05:37
06130058.JPG,,SC3_13JunTo8Jul,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,, 2021-06-13 15:16:32
06130059.JPG,,SC3_13JunTo8Jul,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,, 2021-06-13 15:20:12
06130060.JPG,,SC3_13JunTo8Jul,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,, 2021-06-13 15:21:54
06130061.JPG,,SC3_13JunTo8Jul,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,, 2021-06-13 15:23:35
06130062.JPG,,SC3_13JunTo8Jul,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,, 2021-06-13 15:24:49
06130063.JPG,,SC3_13JunTo8Jul,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,, 2021-06-13 15:25:58
06130064.JPG,,SC3_13JunTo8Jul,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,, 2021-06-13 15:28:36
06130065.JPG,,SC3_13JunTo8Jul,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,, 2021-06-13 15:31:39
06130066.JPG,,SC3_13JunTo8Jul,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,, 2021-06-13 15:34:39
06130067.JPG,,SC3_13JunTo8Jul,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,, 2021-06-13 15:37:52
06130068.JPG,,SC3_13JunTo8Jul,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,, 2021-06-13 15:39:14
06130069.JPG,,SC3_13JunTo8Jul,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,, 2021-06-13 15:40:53
06130070.JPG,,SC3_13JunTo8Jul,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,, 2021-06-13 15:42:23
06130071.JPG,,SC3_13JunTo8Jul,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,, 2021-06-13 15:44:00
06130072.JPG,,SC3_13JunTo8Jul,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,, 2021-06-13 15:46:49
06130073.JPG,,SC3_13JunTo8Jul,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,, 2021-06-13 15:51:03
06130074.JPG,,SC3_13JunTo8Jul,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,, 2021-06-13 15:52:58
06130075.JPG,,SC3_13JunTo8Jul,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,, 2021-06-13 15:54:42
06130076.JPG,,SC3_13JunTo8Jul,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,, 2021-06-13 15:57:55
06130077.JPG,,SC3_13JunTo8Jul,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,, 2021-06-13 16:00:00
06130078.JPG,,SC3_13JunTo8Jul,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,, 2021-06-13 16:02:26
06130079.JPG,,SC3_13JunTo8Jul,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,, 2021-06-13 16:03:35
06130080.JPG,,SC3_13JunTo8Jul,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,, 2021-06-13 16:06:13
06130081.JPG,,SC3_13JunTo8Jul,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,, 2021-06-13 16:08:02
06130082.JPG,,SC3_13JunTo8Jul,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,, 2021-06-13 16:27:00
06130083.JPG,,SC3_13JunTo8Jul,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,, 2021-06-13 16:29:30
06130084.JPG,,SC3_13JunTo8Jul,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,, 2021-06-13 16:32:25
06130085.JPG,,SC3_13JunTo8Jul,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,, 2021-06-13 16:34:36
06130086.JPG,,SC3_13JunTo8Jul,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,, 2021-06-13 16:35:42
06130087.JPG,,SC3_13JunTo8Jul,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,, 2021-06-13 16:38:56
06130088.JPG,,SC3_13JunTo8Jul,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,, 2021-06-13 16:40:02
06130089.JPG,,SC3_13JunTo8Jul,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,, 2021-06-13 16:44:02
06130090.JPG,,SC3_13JunTo8Jul,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,, 2021-06-13 16:48:17
06130091.JPG,,SC3_13JunTo8Jul,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,, 2021-06-13 16:54:58
06130092.JPG,,SC3_13JunTo8Jul,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,, 2021-06-13 16:56:22
06130093.JPG,,SC3_13JunTo8Jul,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,, 2021-06-13 17:00:56
06130094.JPG,,SC3_13JunTo8Jul,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,, 2021-06-13 17:04:02
06130095.JPG,,SC3_13JunTo8Jul,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,, 2021-06-13 17:06:03
06130096.JPG,,SC3_13JunTo8Jul,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,, 2021-06-13 17:08:17
06130097.JPG,,SC3_13JunTo8Jul,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,, 2021-06-13 17:10:29
06130098.JPG,,SC3_13JunTo8Jul,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,, 2021-06-13 17:11:39
06130099.JPG,,SC3_13JunTo8Jul,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,, 2021-06-13 17:13:20
06130100.JPG,,SC3_13JunTo8Jul,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,, 2021-06-13 17:21:18
06130101.JPG,,SC3_13JunTo8Jul,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,, 2021-06-13 17:22:51
06130102.JPG,,SC3_13JunTo8Jul,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,, 2021-06-13 17:25:29
06130103.JPG,,SC3_13JunTo8Jul,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,, 2021-06-13 17:30:05
06130104.JPG,,SC3_13JunTo8Jul,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,, 2021-06-13 17:48:45
06130105.JPG,,SC3_13JunTo8Jul,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,, 2021-06-13 17:51:13
06130106.JPG,,SC3_13JunTo8Jul,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,, 2021-06-13 17:53:04
06130107.JPG,,SC3_13JunTo8Jul,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,, 2021-06-13 17:58:31
06130108.JPG,,SC3_13JunTo8Jul,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,, 2021-06-13 18:01:42
06130109.JPG,,SC3_13JunTo8Jul,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,, 2021-06-13 18:03:05
06130110.JPG,,SC3_13JunTo8Jul,Ok,FALSE,Pecari tajacu,1,,0,FALSE,FALSE,FALSE,FALSE,FALSE,, 2021-06-13 21:20:37
06140111.JPG,,SC3_13JunTo8Jul,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,, 2021-06-14 04:41:45
06140112.JPG,,SC3_13JunTo8Jul,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,, 2021-06-14 11:30:13
06140113.JPG,,SC3_13JunTo8Jul,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,, 2021-06-14 11:44:41
06140114.JPG,,SC3_13JunTo8Jul,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,, 2021-06-14 11:55:42
06140115.JPG,,SC3_13JunTo8Jul,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,, 2021-06-14 12:07:03
06140116.JPG,,SC3_13JunTo8Jul,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,, 2021-06-14 12:08:11
06140117.JPG,,SC3_13JunTo8Jul,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,, 2021-06-14 12:23:13
06140118.JPG,,SC3_13JunTo8Jul,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,, 2021-06-14 12:27:10
06140119.JPG,,SC3_13JunTo8Jul,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,, 2021-06-14 12:32:41
06140120.JPG,,SC3_13JunTo8Jul,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,, 2021-06-14 12:54:36
06140121.JPG,,SC3_13JunTo8Jul,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,, 2021-06-14 13:02:02
06140122.JPG,,SC3_13JunTo8Jul,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,, 2021-06-14 13:09:59
06140123.JPG,,SC3_13JunTo8Jul,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,, 2021-06-14 13:12:34
06140124.JPG,,SC3_13JunTo8Jul,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,, 2021-06-14 13:21:27
06140125.JPG,,SC3_13JunTo8Jul,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,, 2021-06-14 13:27:50
06140126.JPG,,SC3_13JunTo8Jul,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,, 2021-06-14 13:29:02
06140127.JPG,,SC3_13JunTo8Jul,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,, 2021-06-14 13:30:24
06140128.JPG,,SC3_13JunTo8Jul,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,, 2021-06-14 14:00:13
06140129.JPG,,SC3_13JunTo8Jul,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,, 2021-06-14 14:17:44
06140130.JPG,,SC3_13JunTo8Jul,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,, 2021-06-14 14:25:50
06140131.JPG,,SC3_13JunTo8Jul,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,, 2021-06-14 14:27:05
06140132.JPG,,SC3_13JunTo8Jul,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,, 2021-06-14 14:32:26
06140133.JPG,,SC3_13JunTo8Jul,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,, 2021-06-14 14:41:46
06140134.JPG,,SC3_13JunTo8Jul,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,, 2021-06-14 14:45:04
06140135.JPG,,SC3_13JunTo8Jul,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,, 2021-06-14 14:49:14
06140136.JPG,,SC3_13JunTo8Jul,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,, 2021-06-14 14:50:25
06140137.JPG,,SC3_13JunTo8Jul,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,, 2021-06-14 14:54:19
06140138.JPG,,SC3_13JunTo8Jul,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,, 2021-06-14 14:56:26
06140139.JPG,,SC3_13JunTo8Jul,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,, 2021-06-14 14:59:02
06140140.JPG,,SC3_13JunTo8Jul,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,, 2021-06-14 15:01:36
06140141.JPG,,SC3_13JunTo8Jul,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,, 2021-06-14 15:03:19
06140142.JPG,,SC3_13JunTo8Jul,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,, 2021-06-14 15:05:35
06140143.JPG,,SC3_13JunTo8Jul,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,, 2021-06-14 15:07:05
06140144.JPG,,SC3_13JunTo8Jul,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,, 2021-06-14 15:15:03
06140145.JPG,,SC3_13JunTo8Jul,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,, 2021-06-14 15:17:20
06140146.JPG,,SC3_13JunTo8Jul,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,, 2021-06-14 15:20:54
06140147.JPG,,SC3_13JunTo8Jul,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,, 2021-06-14 15:26:19
06140148.JPG,,SC3_13JunTo8Jul,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,, 2021-06-14 15:30:37
06140149.JPG,,SC3_13JunTo8Jul,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,, 2021-06-14 15:34:45
06140150.JPG,,SC3_13JunTo8Jul,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,, 2021-06-14 15:38:41
06140151.JPG,,SC3_13JunTo8Jul,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,, 2021-06-14 15:40:25
06140152.JPG,,SC3_13JunTo8Jul,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,, 2021-06-14 15:44:05
06140153.JPG,,SC3_13JunTo8Jul,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,, 2021-06-14 15:45:12
06140154.JPG,,SC3_13JunTo8Jul,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,, 2021-06-14 15:46:24
06140155.JPG,,SC3_13JunTo8Jul,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,, 2021-06-14 15:47:53
06140156.JPG,,SC3_13JunTo8Jul,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,, 2021-06-14 15:49:31
06140157.JPG,,SC3_13JunTo8Jul,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,, 2021-06-14 15:50:40
06140158.JPG,,SC3_13JunTo8Jul,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,, 2021-06-14 15:52:00
06140159.JPG,,SC3_13JunTo8Jul,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,, 2021-06-14 15:53:58
06140160.JPG,,SC3_13JunTo8Jul,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,, 2021-06-14 15:55:07
