File,RelativePath,Folder,DateTime,ImageQuality,Flag,DeleteFlag,CamSetup,species1,species1count,species2,species2count,Water,OHV,Mange,Outreach,Note
07060776.JPG,,SC7_13JunTo11Jul, 2021-07-06 15:41:35,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
07060777.JPG,,SC7_13JunTo11Jul, 2021-07-06 15:54:41,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
07060778.JPG,,SC7_13JunTo11Jul, 2021-07-06 16:34:50,Ok,FALSE,FALSE,FALSE,Homo sapien,1,,0,FALSE,FALSE,FALSE,FALSE,
07070779.JPG,,SC7_13JunTo11Jul, 2021-07-07 11:55:56,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
07070780.JPG,,SC7_13JunTo11Jul, 2021-07-07 11:57:06,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
07070781.JPG,,SC7_13JunTo11Jul, 2021-07-07 11:59:01,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
07070782.JPG,,SC7_13JunTo11Jul, 2021-07-07 12:00:40,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
07070783.JPG,,SC7_13JunTo11Jul, 2021-07-07 12:21:15,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
07070784.JPG,,SC7_13JunTo11Jul, 2021-07-07 12:27:22,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
07070785.JPG,,SC7_13JunTo11Jul, 2021-07-07 12:44:51,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
07070786.JPG,,SC7_13JunTo11Jul, 2021-07-07 13:02:07,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
07070787.JPG,,SC7_13JunTo11Jul, 2021-07-07 13:16:45,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
07070788.JPG,,SC7_13JunTo11Jul, 2021-07-07 13:26:15,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
07070789.JPG,,SC7_13JunTo11Jul, 2021-07-07 13:36:28,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
07070790.JPG,,SC7_13JunTo11Jul, 2021-07-07 13:39:30,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
07070791.JPG,,SC7_13JunTo11Jul, 2021-07-07 13:53:30,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
07070792.JPG,,SC7_13JunTo11Jul, 2021-07-07 13:59:47,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
07070793.JPG,,SC7_13JunTo11Jul, 2021-07-07 14:47:20,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
07070794.JPG,,SC7_13JunTo11Jul, 2021-07-07 15:07:57,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
07080795.JPG,,SC7_13JunTo11Jul, 2021-07-08 10:01:59,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
07080796.JPG,,SC7_13JunTo11Jul, 2021-07-08 10:45:57,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
07080797.JPG,,SC7_13JunTo11Jul, 2021-07-08 10:53:14,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
07080798.JPG,,SC7_13JunTo11Jul, 2021-07-08 10:57:54,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
07080799.JPG,,SC7_13JunTo11Jul, 2021-07-08 11:16:06,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
