File,RelativePath,Folder,Date,Time,ImageQuality,DeleteFlag,species1,species1count,species2,species2count,Flag,Water,OHV,Outreach,CamSetup,Note,
01140028.JPG,SC14_12JanTo6Mar,SC14,14-Jan-2021,23:56:07,Ok,false,Canis latrans,1,,0,false,true,false,false,false,,
01150029.JPG,SC14_12JanTo6Mar,SC14,15-Jan-2021,22:08:18,Ok,false,Pecari tajacu,1,,0,false,true,false,false,false,,
01150030.JPG,SC14_12JanTo6Mar,SC14,15-Jan-2021,22:09:50,Ok,false,Pecari tajacu,1,,0,false,true,false,false,false,,
01150031.JPG,SC14_12JanTo6Mar,SC14,15-Jan-2021,22:14:47,Ok,false,Pecari tajacu,1,,0,false,true,false,false,false,,
01150032.JPG,SC14_12JanTo6Mar,SC14,15-Jan-2021,23:01:37,Ok,false,Canis latrans,1,,0,false,true,false,false,false,,
01150033.JPG,SC14_12JanTo6Mar,SC14,15-Jan-2021,23:02:24,Ok,true,,0,,0,false,true,false,false,false,,
01170034.JPG,SC14_12JanTo6Mar,SC14,17-Jan-2021,07:10:14,Ok,false,Canis latrans,1,,0,false,true,false,false,false,,
01170035.JPG,SC14_12JanTo6Mar,SC14,17-Jan-2021,13:57:06,Ok,false,Canis familiaris,1,,0,false,true,false,false,false,,
01170036.JPG,SC14_12JanTo6Mar,SC14,17-Jan-2021,13:57:55,Ok,true,Canis familiaris,1,,0,false,true,false,false,false,,
01180037.JPG,SC14_12JanTo6Mar,SC14,18-Jan-2021,21:59:24,Ok,false,Pecari tajacu,1,,0,false,true,false,false,false,,
01180038.JPG,SC14_12JanTo6Mar,SC14,18-Jan-2021,22:21:16,Ok,false,Pecari tajacu,1,,0,false,true,false,false,false,,
01180039.JPG,SC14_12JanTo6Mar,SC14,18-Jan-2021,22:22:27,Ok,false,Pecari tajacu,1,,0,false,true,false,false,false,,
01200040.JPG,SC14_12JanTo6Mar,SC14,20-Jan-2021,04:18:05,Ok,false,Canis latrans,1,,0,false,true,false,false,false,,
01200041.JPG,SC14_12JanTo6Mar,SC14,20-Jan-2021,04:18:45,Ok,true,Canis latrans,1,,0,false,true,false,false,false,,
01220042.JPG,SC14_12JanTo6Mar,SC14,22-Jan-2021,23:38:18,Ok,false,Pecari tajacu,2,,0,false,true,false,false,false,,
01220043.JPG,SC14_12JanTo6Mar,SC14,22-Jan-2021,23:39:22,Ok,true,Pecari tajacu,2,,0,false,true,false,false,false,,
01220044.JPG,SC14_12JanTo6Mar,SC14,22-Jan-2021,23:40:17,Ok,true,Pecari tajacu,1,,0,false,true,false,false,false,,
01220045.JPG,SC14_12JanTo6Mar,SC14,22-Jan-2021,23:42:25,Ok,false,Pecari tajacu,1,,0,false,true,false,false,false,,
01230046.JPG,SC14_12JanTo6Mar,SC14,23-Jan-2021,00:53:53,Ok,false,Pecari tajacu,2,,0,false,true,false,false,false,,
01230047.JPG,SC14_12JanTo6Mar,SC14,23-Jan-2021,00:54:38,Ok,true,Pecari tajacu,3,,0,false,true,false,false,false,,
01230048.JPG,SC14_12JanTo6Mar,SC14,23-Jan-2021,00:55:12,Ok,false,Pecari tajacu,4,,0,false,true,false,false,false,,
01230049.JPG,SC14_12JanTo6Mar,SC14,23-Jan-2021,00:56:32,Ok,true,Pecari tajacu,3,,0,false,true,false,false,false,,
01230050.JPG,SC14_12JanTo6Mar,SC14,23-Jan-2021,00:57:05,Ok,false,Pecari tajacu,3,,0,false,true,false,false,false,,
01230051.JPG,SC14_12JanTo6Mar,SC14,23-Jan-2021,00:57:46,Ok,true,Pecari tajacu,3,,0,false,true,false,false,false,,
01230052.JPG,SC14_12JanTo6Mar,SC14,23-Jan-2021,02:43:45,Ok,false,Pecari tajacu,1,,0,false,true,false,false,false,,
01230053.JPG,SC14_12JanTo6Mar,SC14,23-Jan-2021,02:44:21,Ok,true,Pecari tajacu,1,,0,false,true,false,false,false,,
01230054.JPG,SC14_12JanTo6Mar,SC14,23-Jan-2021,02:46:02,Ok,false,Pecari tajacu,1,,0,false,true,false,false,false,,
01230055.JPG,SC14_12JanTo6Mar,SC14,23-Jan-2021,20:45:40,Ok,false,Canis latrans,1,,0,false,true,false,false,false,,
01230056.JPG,SC14_12JanTo6Mar,SC14,23-Jan-2021,20:46:19,Ok,true,,0,,0,false,true,false,false,false,,
01280057.JPG,SC14_12JanTo6Mar,SC14,28-Jan-2021,15:06:47,Ok,false,Canis familiaris,1,,0,false,true,false,false,false,,
01280058.JPG,SC14_12JanTo6Mar,SC14,28-Jan-2021,15:08:19,Ok,false,Homo sapien,1,,0,false,true,false,false,false,,
01280059.JPG,SC14_12JanTo6Mar,SC14,28-Jan-2021,15:08:52,Ok,true,Homo sapien,1,,0,false,true,false,false,false,,
01280060.JPG,SC14_12JanTo6Mar,SC14,28-Jan-2021,15:09:54,Ok,false,Homo sapien,1,Canis familiaris,2,false,true,false,false,false,,
01280061.JPG,SC14_12JanTo6Mar,SC14,28-Jan-2021,15:10:29,Ok,true,Canis familiaris,3,,0,false,true,false,false,false,,
01280062.JPG,SC14_12JanTo6Mar,SC14,28-Jan-2021,15:11:19,Ok,true,,0,,0,false,true,false,false,false,,
01280063.JPG,SC14_12JanTo6Mar,SC14,28-Jan-2021,15:11:57,Ok,true,Canis familiaris,0,,0,false,true,false,false,false,,
01280064.JPG,SC14_12JanTo6Mar,SC14,28-Jan-2021,15:14:58,Ok,true,Canis familiaris,0,,0,false,true,false,false,false,,
01280065.JPG,SC14_12JanTo6Mar,SC14,28-Jan-2021,15:15:47,Ok,true,Canis familiaris,0,,0,false,true,false,false,false,,
01280066.JPG,SC14_12JanTo6Mar,SC14,28-Jan-2021,15:16:41,Ok,true,Canis familiaris,1,,0,false,true,false,false,false,,
01280067.JPG,SC14_12JanTo6Mar,SC14,28-Jan-2021,15:17:15,Ok,true,Canis familiaris,2,,0,false,true,false,false,false,,
01280068.JPG,SC14_12JanTo6Mar,SC14,28-Jan-2021,15:17:56,Ok,true,Canis familiaris,1,,0,false,true,false,false,false,,
01280069.JPG,SC14_12JanTo6Mar,SC14,28-Jan-2021,15:18:40,Ok,true,Canis familiaris,1,Homo sapien,1,false,true,false,false,false,,
01280070.JPG,SC14_12JanTo6Mar,SC14,28-Jan-2021,15:19:23,Ok,true,Homo sapien,2,,0,false,true,false,false,false,,
01280071.JPG,SC14_12JanTo6Mar,SC14,28-Jan-2021,15:19:56,Ok,true,Homo sapien,1,,0,false,true,false,false,false,,
01280072.JPG,SC14_12JanTo6Mar,SC14,28-Jan-2021,15:20:28,Ok,true,Canis familiaris,3,Homo sapien,1,false,true,false,false,false,,
01280073.JPG,SC14_12JanTo6Mar,SC14,28-Jan-2021,15:21:57,Ok,true,Canis familiaris,3,,0,false,true,false,false,false,,
01280074.JPG,SC14_12JanTo6Mar,SC14,28-Jan-2021,20:02:25,Ok,false,Pecari tajacu,1,,0,false,true,false,false,false,,
01280075.JPG,SC14_12JanTo6Mar,SC14,28-Jan-2021,20:03:07,Ok,true,Pecari tajacu,1,,0,false,true,false,false,false,,
01280076.JPG,SC14_12JanTo6Mar,SC14,28-Jan-2021,20:05:12,Ok,false,Pecari tajacu,2,,0,false,true,false,false,false,,
01280077.JPG,SC14_12JanTo6Mar,SC14,28-Jan-2021,20:38:47,Ok,false,Pecari tajacu,1,,0,false,true,false,false,false,,
01280078.JPG,SC14_12JanTo6Mar,SC14,28-Jan-2021,20:40:12,Ok,false,Pecari tajacu,2,,0,false,true,false,false,false,,
01300001.JPG,SC14_12JanTo6Mar,SC14,30-Jan-2021,12:06:45,Ok,false,Homo sapien,1,,0,false,true,false,false,true,camera adjusted by random people,
01300002.JPG,SC14_12JanTo6Mar,SC14,30-Jan-2021,12:07:18,Ok,false,,0,,0,false,true,false,false,true,,
01300003.JPG,SC14_12JanTo6Mar,SC14,30-Jan-2021,12:07:51,Ok,false,,0,,0,false,true,false,false,true,,
01300004.JPG,SC14_12JanTo6Mar,SC14,30-Jan-2021,12:08:23,Ok,false,,0,,0,false,true,false,false,true,,
01300005.JPG,SC14_12JanTo6Mar,SC14,30-Jan-2021,12:08:59,Ok,false,,0,,0,false,true,false,false,true,,
01300006.JPG,SC14_12JanTo6Mar,SC14,30-Jan-2021,12:09:32,Ok,false,,0,,0,false,true,false,false,true,,
01310007.JPG,SC14_12JanTo6Mar,SC14,31-Jan-2021,14:03:24,Ok,false,,0,,0,false,true,false,false,true,,
02010008.JPG,SC14_12JanTo6Mar,SC14,01-Feb-2021,01:51:51,Ok,false,Pecari tajacu,4,,0,false,true,false,false,false,,
02010009.JPG,SC14_12JanTo6Mar,SC14,01-Feb-2021,01:52:25,Ok,true,Pecari tajacu,4,,0,false,true,false,false,false,,
02010010.JPG,SC14_12JanTo6Mar,SC14,01-Feb-2021,01:52:58,Ok,true,Pecari tajacu,3,,0,false,true,false,false,false,,
02010011.JPG,SC14_12JanTo6Mar,SC14,01-Feb-2021,22:26:25,Ok,false,Procyon lotor,1,,0,false,true,false,false,false,,
02030012.JPG,SC14_12JanTo6Mar,SC14,03-Feb-2021,14:48:01,Ok,false,Canis familiaris,3,,0,false,true,false,false,false,,
02030013.JPG,SC14_12JanTo6Mar,SC14,03-Feb-2021,14:53:51,Ok,true,Canis familiaris,1,,0,false,true,false,false,false,,
02060014.JPG,SC14_12JanTo6Mar,SC14,06-Feb-2021,00:40:24,Ok,false,Pecari tajacu,1,,0,false,true,false,false,false,,
02060015.JPG,SC14_12JanTo6Mar,SC14,06-Feb-2021,00:40:56,Ok,true,Pecari tajacu,1,,0,false,true,false,false,false,,
02060016.JPG,SC14_12JanTo6Mar,SC14,06-Feb-2021,22:10:04,Ok,false,Pecari tajacu,2,,0,false,true,false,false,false,,
02060017.JPG,SC14_12JanTo6Mar,SC14,06-Feb-2021,22:11:39,Ok,false,Pecari tajacu,1,,0,false,true,false,false,false,,
02060018.JPG,SC14_12JanTo6Mar,SC14,06-Feb-2021,22:12:16,Ok,false,Pecari tajacu,4,,0,false,true,false,false,false,,
02060019.JPG,SC14_12JanTo6Mar,SC14,06-Feb-2021,22:12:52,Ok,true,Pecari tajacu,4,,0,false,true,false,false,false,,
02060020.JPG,SC14_12JanTo6Mar,SC14,06-Feb-2021,22:13:31,Ok,true,Pecari tajacu,3,,0,false,true,false,false,false,,
02060021.JPG,SC14_12JanTo6Mar,SC14,06-Feb-2021,22:14:05,Ok,false,Pecari tajacu,1,,0,false,true,false,false,false,,
02060022.JPG,SC14_12JanTo6Mar,SC14,06-Feb-2021,23:29:38,Ok,false,Pecari tajacu,1,,0,false,true,false,false,false,,
02090023.JPG,SC14_12JanTo6Mar,SC14,09-Feb-2021,12:36:27,Ok,false,Canis familiaris,2,,0,false,true,false,false,false,,
02090024.JPG,SC14_12JanTo6Mar,SC14,09-Feb-2021,12:38:31,Ok,false,Canis familiaris,1,,0,false,true,false,false,false,,
02090025.JPG,SC14_12JanTo6Mar,SC14,09-Feb-2021,12:39:46,Ok,true,Canis familiaris,1,,0,false,true,false,false,false,,
02090026.JPG,SC14_12JanTo6Mar,SC14,09-Feb-2021,12:41:08,Ok,true,Canis familiaris,2,,0,false,true,false,false,false,,
02090027.JPG,SC14_12JanTo6Mar,SC14,09-Feb-2021,12:41:42,Ok,true,Canis familiaris,3,,0,false,true,false,false,false,,
02090028.JPG,SC14_12JanTo6Mar,SC14,09-Feb-2021,12:42:19,Ok,true,Canis familiaris,1,,0,false,true,false,false,false,,
02090029.JPG,SC14_12JanTo6Mar,SC14,09-Feb-2021,12:43:00,Ok,true,Canis familiaris,2,,0,false,true,false,false,false,,
02090030.JPG,SC14_12JanTo6Mar,SC14,09-Feb-2021,12:44:15,Ok,true,Canis familiaris,2,,0,false,true,false,false,false,,
02090031.JPG,SC14_12JanTo6Mar,SC14,09-Feb-2021,12:46:07,Ok,true,Canis familiaris,1,,0,false,true,false,false,false,,
02090032.JPG,SC14_12JanTo6Mar,SC14,09-Feb-2021,12:47:40,Ok,true,Canis familiaris,1,,0,false,true,false,false,false,,
02100033.JPG,SC14_12JanTo6Mar,SC14,10-Feb-2021,17:35:21,Ok,false,Homo sapien,1,,0,false,true,false,false,false,,
02110034.JPG,SC14_12JanTo6Mar,SC14,11-Feb-2021,13:06:21,Ok,true,Canis familiaris,2,,0,false,true,false,false,false,,
02110035.JPG,SC14_12JanTo6Mar,SC14,11-Feb-2021,13:07:28,Ok,true,Canis familiaris,3,,0,false,true,false,false,false,,
02110036.JPG,SC14_12JanTo6Mar,SC14,11-Feb-2021,13:09:22,Ok,true,Canis familiaris,2,,0,false,true,false,false,false,,
02110037.JPG,SC14_12JanTo6Mar,SC14,11-Feb-2021,13:09:59,Ok,true,Canis familiaris,3,,0,false,true,false,false,false,,
02110038.JPG,SC14_12JanTo6Mar,SC14,11-Feb-2021,13:11:16,Ok,true,Canis familiaris,3,,0,false,true,false,false,false,,
02110039.JPG,SC14_12JanTo6Mar,SC14,11-Feb-2021,13:11:49,Ok,true,Canis familiaris,2,,0,false,true,false,false,false,,
02110040.JPG,SC14_12JanTo6Mar,SC14,11-Feb-2021,13:13:04,Ok,true,Canis familiaris,2,,0,false,true,false,false,false,,
02110041.JPG,SC14_12JanTo6Mar,SC14,11-Feb-2021,13:14:08,Ok,true,Canis familiaris,1,,0,false,true,false,false,false,,
